Year,Units,Series,sex,Value
2014,percentage,"employment rate, total (20 to 64-year-olds)",female,73.1
2015,percentage,"employment rate, total (20 to 64-year-olds)",female,73.6
2016,percentage,"employment rate, total (20 to 64-year-olds)",female,74.5
2017,percentage,"employment rate, total (20 to 64-year-olds)",female,75.2
2018,percentage,"employment rate, total (20 to 64-year-olds)",female,75.8
2019,percentage,"employment rate, total (20 to 64-year-olds)",female,76.6
2020,percentage,"employment rate, total (20 to 64-year-olds)",female,75.4
2021,percentage,"employment rate, total (20 to 64-year-olds)",female,75.6
2022,percentage,"employment rate, total (20 to 64-year-olds)",female,76.8
2000,percentage,"employment rate, total (20 to 64-year-olds)",male,76.5
2001,percentage,"employment rate, total (20 to 64-year-olds)",male,76.4
2002,percentage,"employment rate, total (20 to 64-year-olds)",male,75.6
2003,percentage,"employment rate, total (20 to 64-year-olds)",male,74.8
2004,percentage,"employment rate, total (20 to 64-year-olds)",male,74.0
2005,percentage,"employment rate, total (20 to 64-year-olds)",male,75.6
2006,percentage,"employment rate, total (20 to 64-year-olds)",male,77.2
2007,percentage,"employment rate, total (20 to 64-year-olds)",male,79.1
2008,percentage,"employment rate, total (20 to 64-year-olds)",male,80.1
2009,percentage,"employment rate, total (20 to 64-year-olds)",male,79.6
2010,percentage,"employment rate, total (20 to 64-year-olds)",male,80.4
2011,percentage,"employment rate, total (20 to 64-year-olds)",male,81.7
2012,percentage,"employment rate, total (20 to 64-year-olds)",male,82.1
2013,percentage,"employment rate, total (20 to 64-year-olds)",male,82.1
2014,percentage,"employment rate, total (20 to 64-year-olds)",male,82.2
2015,percentage,"employment rate, total (20 to 64-year-olds)",male,82.3
2016,percentage,"employment rate, total (20 to 64-year-olds)",male,82.7
2017,percentage,"employment rate, total (20 to 64-year-olds)",male,83.1
2018,percentage,"employment rate, total (20 to 64-year-olds)",male,83.9
2019,percentage,"employment rate, total (20 to 64-year-olds)",male,84.6
2020,percentage,"employment rate, total (20 to 64-year-olds)",male,83.0
2021,percentage,"employment rate, total (20 to 64-year-olds)",male,83.0
2022,percentage,"employment rate, total (20 to 64-year-olds)",male,84.6
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,19.6
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,20.8
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,22.2
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,23.5
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,25.3
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,28.2
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,29.7
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,32.9
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,35.1
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,38.6
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,41.1
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,44.3
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,46.6
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,50.0
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,52.6
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,53.3
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,56.0
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,58.4
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,60.3
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,61.8
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,60.6
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,61.1
2022,percentage,"employment rate, older people (60 to 64-year-olds)",,63.2
2030,percentage,"employment rate, older people (60 to 64-year-olds)",,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",female,12.1
2001,percentage,"employment rate, older people (60 to 64-year-olds)",female,13.4
2002,percentage,"employment rate, older people (60 to 64-year-olds)",female,14.5
2003,percentage,"employment rate, older people (60 to 64-year-olds)",female,15.9
2004,percentage,"employment rate, older people (60 to 64-year-olds)",female,17.6
2005,percentage,"employment rate, older people (60 to 64-year-olds)",female,20.7
2006,percentage,"employment rate, older people (60 to 64-year-olds)",female,21.9
2007,percentage,"employment rate, older people (60 to 64-year-olds)",female,24.9
2008,percentage,"employment rate, older people (60 to 64-year-olds)",female,27.2
2009,percentage,"employment rate, older people (60 to 64-year-olds)",female,30.4
2010,percentage,"employment rate, older people (60 to 64-year-olds)",female,33.1
2011,percentage,"employment rate, older people (60 to 64-year-olds)",female,36.5
2012,percentage,"employment rate, older people (60 to 64-year-olds)",female,38.8
2013,percentage,"employment rate, older people (60 to 64-year-olds)",female,42.8
2014,percentage,"employment rate, older people (60 to 64-year-olds)",female,46.2
2015,percentage,"employment rate, older people (60 to 64-year-olds)",female,47.9
2016,percentage,"employment rate, older people (60 to 64-year-olds)",female,50.8
2017,percentage,"employment rate, older people (60 to 64-year-olds)",female,53.3
2018,percentage,"employment rate, older people (60 to 64-year-olds)",female,55.4
2019,percentage,"employment rate, older people (60 to 64-year-olds)",female,57.1
2020,percentage,"employment rate, older people (60 to 64-year-olds)",female,56.7
2021,percentage,"employment rate, older people (60 to 64-year-olds)",female,56.6
2022,percentage,"employment rate, older people (60 to 64-year-olds)",female,59.2
2000,percentage,"employment rate, older people (60 to 64-year-olds)",male,27.2
2001,percentage,"employment rate, older people (60 to 64-year-olds)",male,28.4
2002,percentage,"employment rate, older people (60 to 64-year-olds)",male,30.2
2003,percentage,"employment rate, older people (60 to 64-year-olds)",male,31.2
2004,percentage,"employment rate, older people (60 to 64-year-olds)",male,33.2
2005,percentage,"employment rate, older people (60 to 64-year-olds)",male,35.9
2006,percentage,"employment rate, older people (60 to 64-year-olds)",male,37.7
2007,percentage,"employment rate, older people (60 to 64-year-olds)",male,41.2
2008,percentage,"employment rate, older people (60 to 64-year-olds)",male,43.2
2009,percentage,"employment rate, older people (60 to 64-year-olds)",male,47.0
2010,percentage,"employment rate, older people (60 to 64-year-olds)",male,49.4
2011,percentage,"employment rate, older people (60 to 64-year-olds)",male,52.4
2012,percentage,"employment rate, older people (60 to 64-year-olds)",male,54.9
2013,percentage,"employment rate, older people (60 to 64-year-olds)",male,57.7
2014,percentage,"employment rate, older people (60 to 64-year-olds)",male,59.4
2015,percentage,"employment rate, older people (60 to 64-year-olds)",male,59.1
2016,percentage,"employment rate, older people (60 to 64-year-olds)",male,61.5
2017,percentage,"employment rate, older people (60 to 64-year-olds)",male,63.7
2018,percentage,"employment rate, older people (60 to 64-year-olds)",male,65.4
2019,percentage,"employment rate, older people (60 to 64-year-olds)",male,66.6
2020,percentage,"employment rate, older people (60 to 64-year-olds)",male,64.5
2021,percentage,"employment rate, older people (60 to 64-year-olds)",male,65.8
2022,percentage,"employment rate, older people (60 to 64-year-olds)",male,67.4
